Notes	Month	Month Code	Residence State	Residence State Code	Deaths	Population	Crude Rate
	"Jan., 2024 (provisional)"	2024/01	Alabama	1	116	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Alaska	2	41	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Arizona	4	180	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Arkansas	5	36	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	California	6	859	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Colorado	8	153	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Connecticut	9	102	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Delaware	10	34	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	District of Columbia	11	26	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Florida	12	543	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Georgia	13	203	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Hawaii	15	37	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Idaho	16	30	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Illinois	17	231	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Indiana	18	172	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Iowa	19	38	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Kansas	20	50	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Kentucky	21	149	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Louisiana	22	132	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Maine	23	49	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Maryland	24	184	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Massachusetts	25	165	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Michigan	26	209	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Minnesota	27	104	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Mississippi	28	50	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Missouri	29	148	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Montana	30	14	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Nebraska	31	10	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Nevada	32	114	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	New Hampshire	33	39	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	New Jersey	34	211	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	New Mexico	35	65	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	New York	36	462	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	North Carolina	37	313	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	North Dakota	38	10	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Ohio	39	305	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Oklahoma	40	109	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Oregon	41	177	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Pennsylvania	42	336	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Rhode Island	44	41	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	South Carolina	45	167	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	South Dakota	46	11	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Tennessee	47	282	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Texas	48	450	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Utah	49	61	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Vermont	50	19	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Virginia	51	151	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Washington	53	297	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	West Virginia	54	81	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Wisconsin	55	120	Not Applicable	Not Applicable
	"Jan., 2024 (provisional)"	2024/01	Wyoming	56	11	Not Applicable	Not Applicable
