Date,State Name,Deaths,Provisional,Partial,State,Year,Month,Data Value,Percent Complete,Percent Pending Investigation,Predicted Value,recreated12m
2018-01-01,Alabama,56.0,False,False,AL,2018,January,785,100.0,0.150636439,808.0,
2018-02-01,Alabama,79.0,False,False,AL,2018,February,799,100.0,0.152024174,822.0,
2018-03-01,Alabama,76.0,False,False,AL,2018,March,785,100.0,0.154048469,808.0,
2018-04-01,Alabama,66.0,False,False,AL,2018,April,785,100.0,0.161496282,808.0,
2018-05-01,Alabama,73.0,False,False,AL,2018,May,787,100.0,0.180146369,811.0,
2018-06-01,Alabama,54.0,False,False,AL,2018,June,764,100.0,0.191100703,788.0,
2018-07-01,Alabama,67.0,False,False,AL,2018,July,759,100.0,0.207561988,783.0,
2018-08-01,Alabama,59.0,False,False,AL,2018,August,745,100.0,0.207476636,769.0,
2018-09-01,Alabama,64.0,False,False,AL,2018,September,754,100.0,0.206054248,778.0,
2018-10-01,Alabama,50.0,False,False,AL,2018,October,751,100.0,0.192862225,775.0,
2018-11-01,Alabama,51.0,False,False,AL,2018,November,744,100.0,0.17047264,766.0,
2018-12-01,Alabama,80.0,False,False,AL,2018,December,740,100.0,0.174497148,763.0,
2019-01-01,Alabama,41.0,False,False,AL,2019,January,724,100.0,0.169414094,746.0,760.0
2019-02-01,Alabama,56.0,False,False,AL,2019,February,703,100.0,0.169743668,724.0,737.0
2019-03-01,Alabama,67.0,False,False,AL,2019,March,701,100.0,0.175134682,722.0,728.0
2019-04-01,Alabama,63.0,False,False,AL,2019,April,699,100.0,0.184494827,721.0,725.0
2019-05-01,Alabama,71.0,False,False,AL,2019,May,699,100.0,0.184067707,721.0,723.0
2019-06-01,Alabama,75.0,False,False,AL,2019,June,720,100.0,0.179975372,742.0,744.0
2019-07-01,Alabama,66.0,False,False,AL,2019,July,715,100.0,0.164464357,736.0,743.0
2019-08-01,Alabama,73.0,False,False,AL,2019,August,731,100.0,0.17727487,753.0,757.0
2019-09-01,Alabama,53.0,False,False,AL,2019,September,719,100.0,0.192231583,742.0,746.0
2019-10-01,Alabama,75.0,False,False,AL,2019,October,743,100.0,0.203497136,767.0,771.0
2019-11-01,Alabama,58.0,False,False,AL,2019,November,750,100.0,0.214257523,774.0,778.0
2019-12-01,Alabama,70.0,False,False,AL,2019,December,739,100.0,0.219883481,763.0,768.0
2020-01-01,Alabama,57.0,False,False,AL,2020,January,754,100.0,0.216458365,779.0,784.0
2020-02-01,Alabama,71.0,False,False,AL,2020,February,772,100.0,0.224626558,798.0,799.0
2020-03-01,Alabama,95.0,False,False,AL,2020,March,791,100.0,0.216810272,817.0,827.0
